so_thu_tu,ten_on_vi_hanh_chinh,tinh_thanh_pho,chu_thich,nam_thanh_lap,dan_so_nguoi,dien_tich_km,mat_o_dan_so_nguoi_km,so_vhc_cap_xa
1,A Lưới,Huế,,1975.0,56370.0,12252.0,46.0,18.0
2,An Biên,Kiên Giang,,1939.0,115218.0,4003.0,288.0,9.0
3,An Dương,Hải Phòng,quận,,171227.0,789.0,2.169,10.0
4,An Khê,Gia Lai,thị xã,,65918.0,2001.0,329.0,11.0
5,An Lão,Hải Phòng,,,146712.0,1177.0,1.246,17.0
6,An Lão,Bình Định,,,27837.0,6969.0,40.0,10.0
7,An Minh,Kiên Giang,,1986.0,115720.0,5905.0,196.0,11.0
8,An Nhơn,Bình Định,thị xã,,175709.0,2445.0,719.0,15.0
9,An Phú,An Giang,,1957.0,148615.0,2262.0,657.0,14.0
10,Ân Thi,Hưng Yên,,1862.0,134403.0,1300.0,1.034,18.0
11,Anh Sơn,Nghệ An,,,116922.0,6033.0,194.0,19.0
12,Ayun Pa,Gia Lai,thị xã,,39936.0,2872.0,139.0,8.0
13,Ba Bể,Bắc Kạn,,1984.0,48325.0,6841.0,71.0,15.0
14,Ba Chẽ,Quảng Ninh,,1954.0,22103.0,6065.0,36.0,7.0
15,Ba Đình,Hà Nội,quận,,221893.0,92.0,24.119,13.0
16,Ba Đồn,Quảng Bình,thị xã,,106413.0,1623.0,656.0,16.0
17,Bà Rịa,Bà Rịa – Vũng Tàu,thành phố,,108701.0,910.0,1.195,10.0
18,Bá Thước,Thanh Hóa,,1945.0,100834.0,7776.0,130.0,21.0
19,Ba Tơ,Quảng Ngãi,,,59438.0,11376.0,52.0,19.0
20,Ba Tri,Bến Tre,,1912.0,184734.0,3672.0,503.0,23.0
21,Ba Vì,Hà Nội,,1968.0,290580.0,4230.0,687.0,29.0
22,Bác Ái,Ninh Thuận,,1950.0,30598.0,10272.0,30.0,9.0
23,Bắc Bình,Bình Thuận,,1951.0,129374.0,18688.0,69.0,18.0
24,Bắc Giang,Bắc Giang,thành phố,,346296.0,2584.0,3.71,31.0
25,Bắc Hà,Lào Cai,,,65338.0,6833.0,96.0,18.0
26,Bắc Kạn,Bắc Kạn,thành phố,,45036.0,1369.0,329.0,8.0
27,Bạc Liêu,Bạc Liêu,thành phố,,156110.0,1754.0,890.0,10.0
28,Bắc Mê,Hà Giang,,1983.0,54592.0,8561.0,64.0,13.0
29,Bắc Ninh,Bắc Ninh,thành phố,,288766.0,826.0,3.494,17.0
30,Bắc Quang,Hà Giang,,,118690.0,11056.0,107.0,23.0
31,Bắc Sơn,Lạng Sơn,,1894.0,71967.0,6994.0,103.0,18.0
32,Bắc Tân Uyên,Bình Dương,,2013.0,65860.0,4003.0,165.0,10.0
33,Bắc Trà My,Quảng Nam,,2003.0,41335.0,8470.0,49.0,13.0
34,Bắc Từ Liêm,Hà Nội,quận,,340605.0,452.0,7.529,13.0
35,Bắc Yên,Sơn La,,1964.0,66784.0,10986.0,61.0,16.0
36,Bạch Long Vĩ,Hải Phòng,huyện đảo,1992.0,624.0,31.0,201.0,0.0
37,Bạch Thông,Bắc Kạn,,,31061.0,5465.0,57.0,14.0
38,Bảo Lạc,Cao Bằng,,,54420.0,9207.0,59.0,17.0
39,Bảo Lâm,Cao Bằng,,2000.0,65025.0,9131.0,71.0,13.0
40,Bảo Lâm,Lâm Đồng,,1994.0,118090.0,14634.0,81.0,14.0
41,Bảo Lộc,Lâm Đồng,thành phố,,158684.0,2332.0,680.0,11.0
42,Bảo Thắng,Lào Cai,,,103262.0,6520.0,158.0,14.0
43,Bảo Yên,Lào Cai,,1964.0,85564.0,8183.0,105.0,17.0
44,Bát Xát,Lào Cai,,,74388.0,10355.0,72.0,21.0
45,Bàu Bàng,Bình Dương,,2013.0,92679.0,3400.0,273.0,7.0
46,Bến Cát,Bình Dương,thành phố,,302782.0,2344.0,1.292,8.0
47,Bến Cầu,Tây Ninh,,1959.0,69849.0,2375.0,294.0,9.0
48,Bến Lức,Long An,,1957.0,181660.0,2879.0,631.0,14.0
49,Bến Tre,Bến Tre,thành phố,,124499.0,706.0,1.763,12.0
50,Biên Hòa,Đồng Nai,thành phố,,960609.0,26362.0,3.644,25.0
51,Bỉm Sơn,Thanh Hóa,thị xã,,69826.0,639.0,1.093,7.0
52,Bình Chánh,Thành phố Hồ Chí Minh,,1957.0,705508.0,2527.0,2.792,16.0
53,Bình Đại,Bến Tre,,1950.0,137304.0,4273.0,321.0,20.0
54,Bình Gia,Lạng Sơn,,,52689.0,10942.0,48.0,19.0
55,Bình Giang,Hải Dương,,1822.0,119229.0,1062.0,1.123,15.0
56,Bình Liêu,Quảng Ninh,,1919.0,31637.0,4701.0,67.0,7.0
57,Bình Long,Bình Phước,thị xã,,71502.0,12641.0,566.0,6.0
58,Bình Lục,Hà Nam,,,133046.0,1442.0,923.0,15.0
59,Bình Minh,Vĩnh Long,thị xã,,95639.0,936.0,1.021,8.0
60,Bình Sơn,Quảng Ngãi,,,181050.0,4662.0,388.0,22.0
61,Bình Tân,Thành phố Hồ Chí Minh,quận,,784173.0,519.0,15.109,10.0
62,Bình Tân,Vĩnh Long,,2007.0,95709.0,1581.0,605.0,9.0
63,Bình Thạnh,Thành phố Hồ Chí Minh,quận,,499164.0,208.0,23.998,15.0
64,Bình Thủy,Cần Thơ,quận,,142164.0,711.0,1.999,8.0
65,Bình Xuyên,Vĩnh Phúc,,1841.0,131013.0,1485.0,882.0,13.0
66,Bố Trạch,Quảng Bình,,,188375.0,21155.0,89.0,26.0
67,Bù Đăng,Bình Phước,,1976.0,168253.0,150077.0,112.0,16.0
68,Bù Đốp,Bình Phước,,1976.0,77334.0,38010.0,203.0,7.0
69,Bù Gia Mập,Bình Phước,,2009.0,93315.0,106465.0,88.0,8.0
70,Buôn Đôn,Đắk Lắk,,1995.0,64251.0,14104.0,46.0,7.0
71,Buôn Hồ,Đắk Lắk,thị xã,,98732.0,2825.0,349.0,11.0
72,Buôn Ma Thuột,Đắk Lắk,thành phố,,375590.0,3772.0,996.0,19.0
73,Cà Mau,Cà Mau,thành phố,,226372.0,2492.0,908.0,16.0
74,Cái Bè,Tiền Giang,,1912.0,292738.0,4164.0,703.0,25.0
75,Cai Lậy,Tiền Giang,thị xã,,125615.0,1410.0,891.0,16.0
76,Cai Lậy,Tiền Giang,,1904.0,193328.0,2948.0,656.0,16.0
77,Cái Nước,Cà Mau,,1957.0,136638.0,4171.0,328.0,11.0
78,Cái Răng,Cần Thơ,quận,,105393.0,668.0,1.578,7.0
79,Cẩm Giàng,Hải Dương,,,147810.0,1101.0,1.343,15.0
80,Cẩm Khê,Phú Thọ,,1841.0,139424.0,2339.0,596.0,16.0
81,Cam Lâm,Khánh Hòa,,2007.0,108979.0,5472.0,199.0,14.0
82,Cẩm Lệ,Đà Nẵng,quận,,159295.0,358.0,4.45,6.0
83,Cam Lộ,Quảng Trị,,,47777.0,3445.0,139.0,8.0
84,Cẩm Mỹ,Đồng Nai,,2003.0,173865.0,46259.0,376.0,13.0
85,Cẩm Phả,Quảng Ninh,thành phố,,190232.0,3865.0,492.0,15.0
86,Cam Ranh,Khánh Hòa,thành phố,,130814.0,3270.0,400.0,15.0
87,Cẩm Thủy,Thanh Hóa,,,110091.0,4245.0,259.0,17.0
88,Cẩm Xuyên,Hà Tĩnh,,1841.0,149313.0,6364.0,235.0,21.0
89,Cần Đước,Long An,,1867.0,187359.0,2205.0,850.0,17.0
90,Cần Giờ,Thành phố Hồ Chí Minh,,1991.0,71526.0,7042.0,102.0,7.0
91,Cần Giuộc,Long An,,1864.0,214914.0,2151.0,999.0,15.0
92,Can Lộc,Hà Tĩnh,,1862.0,129098.0,3021.0,427.0,17.0
93,Càng Long,Trà Vinh,,1917.0,147694.0,2939.0,503.0,14.0
94,Cao Bằng,Cao Bằng,thành phố,,73549.0,1071.0,687.0,11.0
95,Cao Lãnh,Đồng Tháp,thành phố,,164835.0,1073.0,1.536,15.0
96,Cao Lãnh,Đồng Tháp,,1913.0,197614.0,4911.0,402.0,13.0
97,Cao Lộc,Lạng Sơn,,1893.0,79873.0,6191.0,129.0,22.0
98,Cao Phong,Hòa Bình,,,45470.0,2552.0,178.0,10.0
99,Cát Hải,Hải Phòng,huyện đảo,1890.0,32090.0,3256.0,99.0,12.0
100,Cầu Giấy,Hà Nội,quận,,292536.0,124.0,23.516,8.0
101,Cầu Kè,Trà Vinh,,1913.0,102767.0,2466.0,417.0,11.0
102,Cầu Ngang,Trà Vinh,,1928.0,121254.0,3284.0,369.0,15.0
103,Châu Đốc,An Giang,thành phố,,101765.0,1052.0,967.0,7.0
104,Châu Đức,Bà Rịa – Vũng Tàu,,1994.0,143859.0,4246.0,339.0,16.0
105,Châu Phú,An Giang,,1957.0,206676.0,4507.0,459.0,13.0
106,Châu Thành,An Giang,,1979.0,151368.0,3548.0,427.0,13.0
107,Châu Thành,Bến Tre,,1960.0,175893.0,2249.0,782.0,16.0
108,Châu Thành,Đồng Tháp,,1974.0,146812.0,2462.0,596.0,12.0
109,Châu Thành,Hậu Giang,,1913.0,88079.0,1391.0,633.0,8.0
110,Châu Thành,Kiên Giang,,1920.0,159607.0,2854.0,559.0,10.0
111,Châu Thành,Long An,,,109812.0,1552.0,708.0,13.0
112,Châu Thành,Sóc Trăng,,1916.0,95188.0,2363.0,403.0,8.0
113,Châu Thành,Tây Ninh,,1998.0,140769.0,5809.0,242.0,15.0
114,Châu Thành,Tiền Giang,,1912.0,263426.0,2326.0,1.133,20.0
115,Châu Thành,Trà Vinh,,1917.0,144040.0,3431.0,420.0,14.0
116,Châu Thành A,Hậu Giang,,1966.0,97606.0,1534.0,636.0,10.0
117,Chi Lăng,Lạng Sơn,,1964.0,75063.0,7042.0,107.0,20.0
118,Chí Linh,Hải Dương,thành phố,,220421.0,2829.0,779.0,19.0
119,Chiêm Hóa,Tuyên Quang,,,134091.0,11462.0,117.0,24.0
120,Chợ Đồn,Bắc Kạn,,,49554.0,9112.0,54.0,20.0
121,Chợ Gạo,Tiền Giang,,1912.0,187711.0,2309.0,813.0,19.0
122,Chợ Lách,Bến Tre,,,111418.0,1691.0,659.0,11.0
123,Chợ Mới,An Giang,,1917.0,307981.0,3691.0,834.0,18.0
124,Chợ Mới,Bắc Kạn,,1998.0,38958.0,6065.0,64.0,14.0
125,Chơn Thành,Bình Phước,thị xã,,101196.0,39034.0,259.0,9.0
126,Chũ,Bắc Giang,thị xã,,,,,10.0
127,Chư Păh,Gia Lai,,,77299.0,9746.0,79.0,14.0
128,Chư Prông,Gia Lai,,,123555.0,16939.0,73.0,20.0
129,Chư Pưh,Gia Lai,,2009.0,77511.0,7189.0,108.0,9.0
130,Chư Sê,Gia Lai,,1981.0,121965.0,6410.0,190.0,15.0
131,Chương Mỹ,Hà Nội,,1888.0,337326.0,2374.0,1.421,30.0
132,Cờ Đỏ,Cần Thơ,,2004.0,116576.0,3198.0,365.0,10.0
133,Cô Tô,Quảng Ninh,huyện đảo,1994.0,6285.0,501.0,125.0,3.0
134,Cồn Cỏ,Quảng Trị,huyện đảo,2004.0,346.0,23.0,150.0,0.0
135,Con Cuông,Nghệ An,,,75168.0,17383.0,43.0,12.0
136,Côn Đảo,Bà Rịa – Vũng Tàu,huyện đảo,1977.0,8827.0,754.0,117.0,0.0
137,Củ Chi,Thành phố Hồ Chí Minh,,1975.0,462047.0,4345.0,1.063,21.0
138,Cư Jút,Đắk Nông,,1990.0,92464.0,7233.0,128.0,8.0
139,Cư Kuin,Đắk Lắk,,2007.0,101247.0,2883.0,351.0,8.0
140,Cù Lao Dung,Sóc Trăng,,2002.0,58304.0,2648.0,220.0,8.0
141,Cư M'gar,Đắk Lắk,,1984.0,177622.0,8244.0,215.0,17.0
142,Đà Bắc,Hòa Bình,,1956.0,55002.0,7780.0,71.0,17.0
143,Đạ Huoai,Lâm Đồng,,1979.0,112696.0,14495.0,234.0,23.0
144,Đakrông,Quảng Trị,,1996.0,43208.0,12245.0,35.0,13.0
145,Đà Lạt,Lâm Đồng,thành phố,,226578.0,3945.0,574.0,16.0
146,Đại Lộc,Quảng Nam,,1900.0,141851.0,5785.0,245.0,18.0
147,Đại Từ,Thái Nguyên,,,171703.0,5734.0,299.0,27.0
148,Đak Đoa,Gia Lai,,2000.0,123282.0,9853.0,125.0,17.0
149,Đăk Glei,Kon Tum,,1946.0,48761.0,14937.0,33.0,12.0
150,Đắk Glong,Đắk Nông,,2005.0,67782.0,14478.0,47.0,7.0
151,Đăk Hà,Kon Tum,,1994.0,74805.0,8450.0,89.0,11.0
152,Đắk Mil,Đắk Nông,,1975.0,100702.0,6790.0,148.0,10.0
153,Đak Pơ,Gia Lai,,2003.0,40442.0,5025.0,80.0,8.0
154,Đắk R'lấp,Đắk Nông,,1986.0,83555.0,6357.0,131.0,11.0
155,Đắk Song,Đắk Nông,,2001.0,80514.0,8065.0,100.0,9.0
156,Đăk Tô,Kon Tum,,1946.0,47544.0,5087.0,93.0,9.0
157,Đầm Dơi,Cà Mau,,1956.0,175629.0,8100.0,217.0,16.0
158,Đầm Hà,Quảng Ninh,,1946.0,41217.0,3269.0,126.0,9.0
159,Đam Rông,Lâm Đồng,,2004.0,54217.0,8721.0,62.0,8.0
160,Đan Phượng,Hà Nội,,1832.0,174501.0,780.0,2.237,16.0
161,Dầu Tiếng,Bình Dương,,1946.0,112472.0,7211.0,156.0,12.0
162,Dĩ An,Bình Dương,thành phố,,403760.0,601.0,6.718,7.0
163,Di Linh,Lâm Đồng,,,159994.0,16142.0,99.0,19.0
164,Điện Bàn,Quảng Nam,thị xã,,226564.0,2163.0,1.047,20.0
165,Điện Biên,Điện Biên,,,93850.0,13960.0,67.0,21.0
166,Điện Biên Đông,Điện Biên,,1995.0,67080.0,12090.0,55.0,14.0
167,Điện Biên Phủ,Điện Biên,thành phố,,80366.0,3082.0,261.0,12.0
168,Diễn Châu,Nghệ An,,,312506.0,3050.0,1.025,32.0
169,Diên Khánh,Khánh Hòa,,,143211.0,3376.0,424.0,17.0
170,Định Hóa,Thái Nguyên,,,89288.0,5135.0,174.0,22.0
171,Đình Lập,Lạng Sơn,,,28579.0,11896.0,24.0,12.0
172,Định Quán,Đồng Nai,,1957.0,265925.0,97288.0,273.0,14.0
173,Đô Lương,Nghệ An,,1963.0,213543.0,3501.0,610.0,32.0
174,Đồ Sơn,Hải Phòng,quận,,49029.0,459.0,1.068,6.0
175,Đoan Hùng,Phú Thọ,,,115131.0,3029.0,380.0,14.0
176,Đơn Dương,Lâm Đồng,,,107281.0,6114.0,175.0,9.0
177,Đông Anh,Hà Nội,,1903.0,405749.0,1856.0,2.186,24.0
178,Đống Đa,Hà Nội,quận,,371606.0,100.0,37.161,17.0
179,Đông Giang,Quảng Nam,,2003.0,25116.0,8219.0,31.0,11.0
180,Đông Hà,Quảng Trị,thành phố,,95658.0,730.0,1.31,9.0
181,Đông Hải,Bạc Liêu,,2001.0,152619.0,5701.0,268.0,11.0
182,Đông Hòa,Phú Yên,thị xã,,119991.0,2656.0,452.0,10.0
183,Đồng Hới,Quảng Bình,thành phố,,133672.0,1559.0,857.0,15.0
184,Đông Hưng,Thái Bình,,1969.0,244838.0,1993.0,1.228,32.0
185,Đồng Hỷ,Thái Nguyên,,,92421.0,4277.0,216.0,14.0
186,Đồng Phú,Bình Phước,,1977.0,127559.0,93445.0,137.0,11.0
187,Đông Triều,Quảng Ninh,thành phố,,171673.0,3966.0,433.0,19.0
188,Đồng Văn,Hà Giang,,1906.0,81880.0,4517.0,181.0,19.0
189,Đồng Xoài,Bình Phước,thành phố,,147327.0,16771.0,878.0,8.0
190,Đồng Xuân,Phú Yên,,,55030.0,10333.0,53.0,11.0
191,Đức Cơ,Gia Lai,,1991.0,75718.0,7219.0,105.0,10.0
192,Đức Hòa,Long An,,1913.0,315711.0,4251.0,743.0,20.0
193,Đức Huệ,Long An,,1959.0,65961.0,4289.0,154.0,11.0
194,Đức Linh,Bình Thuận,,,126035.0,5466.0,231.0,12.0
195,Đức Phổ,Quảng Ngãi,thị xã,,150927.0,3728.0,405.0,15.0
196,Đức Thọ,Hà Tĩnh,,1822.0,101562.0,2035.0,499.0,16.0
197,Đức Trọng,Lâm Đồng,,,186974.0,9036.0,207.0,15.0
198,Dương Kinh,Hải Phòng,quận,,60319.0,468.0,1.289,6.0
199,Dương Minh Châu,Tây Ninh,,1951.0,119158.0,4356.0,274.0,11.0
200,Duy Tiên,Hà Nam,thị xã,,177150.0,1209.0,1.363,15.0
201,Duy Xuyên,Quảng Nam,,,126686.0,3092.0,410.0,13.0
202,Duyên Hải,Trà Vinh,thị xã,,48210.0,1751.0,275.0,7.0
203,Duyên Hải,Trà Vinh,,1981.0,78444.0,3054.0,257.0,7.0
204,Ea H'leo,Đắk Lắk,,1980.0,136880.0,13351.0,103.0,12.0
205,Ea Kar,Đắk Lắk,,1986.0,144450.0,10375.0,139.0,16.0
206,Ea Súp,Đắk Lắk,,1977.0,70724.0,17656.0,40.0,10.0
207,Gia Bình,Bắc Ninh,,,132297.0,1076.0,1.23,14.0
208,Gia Lâm,Hà Nội,,,286102.0,1167.0,2.452,17.0
209,Gia Lộc,Hải Dương,,,115617.0,997.0,1.16,14.0
210,Gia Nghĩa,Đắk Nông,thành phố,,85082.0,2841.0,299.0,8.0
211,Giá Rai,Bạc Liêu,thị xã,,143613.0,3550.0,405.0,10.0
212,Gia Viễn,Ninh Bình,,,120992.0,1767.0,685.0,21.0
213,Giang Thành,Kiên Giang,,2009.0,29215.0,4128.0,71.0,5.0
214,Giao Thủy,Nam Định,,1934.0,167752.0,2378.0,705.0,20.0
215,Gio Linh,Quảng Trị,,,75276.0,4738.0,159.0,14.0
216,Giồng Riềng,Kiên Giang,,1920.0,224655.0,6394.0,351.0,19.0
217,Giồng Trôm,Bến Tre,,1956.0,169987.0,3126.0,544.0,21.0
218,Gò Công,Tiền Giang,thành phố,,99657.0,1017.0,980.0,10.0
219,Gò Công Đông,Tiền Giang,,1979.0,139060.0,2732.0,509.0,13.0
220,Gò Công Tây,Tiền Giang,,1979.0,127132.0,1845.0,689.0,13.0
221,Gò Dầu,Tây Ninh,,1955.0,152757.0,2600.0,588.0,9.0
222,Gò Quao,Kiên Giang,,1920.0,132508.0,4395.0,301.0,11.0
223,Gò Vấp,Thành phố Hồ Chí Minh,quận,,676899.0,197.0,34.36,12.0
224,Hà Đông,Hà Nội,quận,,397854.0,496.0,8.021,15.0
225,Hà Giang,Hà Giang,thành phố,,55559.0,1335.0,416.0,8.0
226,Hạ Hòa,Phú Thọ,,,104997.0,3415.0,307.0,20.0
227,Hạ Lang,Cao Bằng,,,25439.0,4565.0,56.0,13.0
228,Hạ Long,Quảng Ninh,thành phố,,300267.0,11191.0,268.0,32.0
229,Hà Quảng,Cao Bằng,,1893.0,59467.0,8110.0,73.0,21.0
230,Hà Tiên,Kiên Giang,thành phố,,81576.0,1005.0,812.0,7.0
231,Hà Tĩnh,Hà Tĩnh,thành phố,,104037.0,566.0,1.838,27.0
